Year,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
PDO_Winter,5.07,-1.75,-4.17,1.86,-1.73,7.45,1.85,2.44,1.94,-0.17,-3.06,-5.41,2.17,-3.65,-5.07,-1.67,1.24,9.26,6.69,3.38
PDO_Summer,-0.37,-5.13,-3.58,-4.22,-0.26,3.42,2.96,3.48,0.28,0.91,-7.63,-1.11,-3.53,-6.45,-7.79,-3.47,5.07,8.08,6.6,1.86
ONI,1.12,-1.07,-1.07,-0.4,0.18,0.27,0.2,0.47,-0.3,0.08,-0.98,-0.23,0.55,-0.72,-0.43,-0.3,-0.28,0.67,1.23,0.12
46050 SST,13.66,13,12.54,12.56,12.3,12.92,14.59,13.56,12.77,13.87,12.39,13.02,12.92,13.06,13.26,13.37,13.43,14.05,13.88,12.79
Upper 20m T_Winter,12.27,10.31,10.12,10.22,10.08,10.7,10.85,10.6,10.61,10.04,9.33,10.19,11.01,10.02,9.62,10.09,9.47,12.75,12.02,11.48
Upper 20m T_Summer,10.38,10.13,10.19,9.77,8.98,9.62,11.39,10.73,9.97,9.99,9.3,9.9,10.14,10.05,9.95,10.63,10.97,10.04,10.2,10.11
Deep temperature,8.59,7.63,7.74,7.56,7.46,7.81,7.89,7.97,7.83,7.58,7.48,7.73,7.89,7.81,7.56,7.94,8.38,8.08,7.89,8.05
Deep salinity,33.54,33.86,33.78,33.86,33.85,33.68,33.66,33.77,33.85,33.88,33.87,33.72,33.61,33.74,33.75,33.76,33.53,33.71,33.83,33.85
Copepod richness anomaly,4.54,-2.58,-3.41,-1.03,-1.12,1.99,1.42,4.39,2.68,-0.63,-0.76,-0.64,3.12,-2.13,-1.31,-2.51,-0.11,7.76,8.32,2.52
N. copepod biomass anomaly,-0.76,0.04,0.15,0.15,0.29,-0.13,0.06,-0.84,-0.01,0.14,0.26,0.15,0.16,0.44,0.39,0.28,0.26,-0.33,-0.9,-0.62
S. copepod biomass anomaly,0.6,-0.23,-0.21,-0.21,-0.23,0.09,0.2,0.55,0.07,-0.07,-0.23,-0.19,0.21,-0.14,-0.19,-0.2,-0.02,0.43,0.52,0.31
Biological transition,201,119,97,101,120,141,131,214,130,81,64,83,169,98,125,91,126,365,365,179
Ichthyoplankton biomass,0.12,0.9,1.8,1.25,1.05,0.46,0.58,0.83,0.59,0.6,1.84,0.89,1.65,0.61,0.99,1.16,0.43,1.63,1.47,1.9
Ichthyoplankton community index,-5.1,5.42,-42.71,-33.14,-38.21,-3.13,48.62,44.95,-39.29,2.7,-42.43,10.46,24.63,2.19,-36.68,-30.73,-19.82,46.44,55.49,50.33
Chinook salmon juvenile,0.25,1.27,1.04,0.44,0.86,0.64,0.41,0.14,0.69,0.86,2.64,0.97,0.89,0.44,1.29,1.35,0.86,0.55,0.34,0.06
Coho salmon juvenile,0.35,2.29,1.5,2.87,2.45,3.6,1.14,0.27,1.14,3.52,3.58,1.87,1.84,1.26,1.07,4.92,1.63,1.93,1.33,0.19
Upwelling Anomaly,-14,19,-36,2,-12,-34,-27,-55,-14,9,0,-5,-35,-36,-35,-21,-37,50,28,-45
Length of Upwelling Season,191,205,151,173,218,168,177,129,195,201,179,201,161,153,161,163,133,175,186,172
SST NH-5,11.3,11.08,11.04,10.98,10.15,10.85,12.85,11.73,11.36,11.8,10.66,11.99,11.41,11.08,11.66,11.66,11.71,11.57,11.76,11.27
Copepod Community Index,0.59,-0.93,-0.91,-0.85,-1.04,-0.29,-0.24,0.41,-0.1,-0.73,-0.97,-0.86,-0.3,-0.78,-0.85,-0.92,-0.41,0.47,0.75,0.17
Washington Chinook,"1,896,871.00","2,352,530.00","2,166,800.00","3,832,178.00","5,023,039.00","4,850,188.00","4,348,172.00","4,534,903.00","4,263,735.00","3,139,599.00","3,672,897.00","3,703,762.00","5,483,331.00","5,523,234.00","4,741,035.00","6,341,149.00","7,442,356.00","7,399,587.00","4,350,818.00","4,146,670.00"
Washington Coho,"1,479,089.00","1,711,002.00","3,661,333.00","4,757,061.00","3,963,443.00","3,857,819.00","6,269,278.00","4,245,437.00","3,444,939.00","2,519,881.00","3,685,463.00","5,338,046.00","3,860,731.00","3,825,898.00","3,675,322.00","3,274,963.00","4,774,105.00","616,632.00","2,875,927.00","2,088,437.00"
Oregon Coho,"193,806.00","473,844.00","1,045,474.00","1,383,552.00","1,160,797.00","1,605,253.00","863,550.00","813,284.00","504,197.00","312,836.00","502,212.00","1,020,960.00","585,327.00","462,088.00","103,176.00","274,916.00","1,535,518.00","184,306.00","216,494.00","226,855.00"
Oregon Chinook,"1,777,234.00","1,075,226.00","2,077,730.00","3,871,220.00","4,954,671.00","5,114,328.00","5,065,996.00","3,868,006.00","1,273,609.00","1,028,896.00","1,286,837.00","1,260,822.00","2,160,969.00","1,925,736.00","1,815,725.00","3,226,902.00","4,838,920.00","2,950,002.00","1,603,200.00","957,466.00"
